Old typology,New typology
F014. Funcionalidad insegura - Uso de Eval sin validar,014. Insecure functionality
F014. Funcionalidad insegura - Uso de eval(),014. Insecure functionality
F014. Funcionalidad insegura - Zip slip,014. Insecure functionality
"F014. Funcionalidad insegura ""Entrega credenciales SFTP""",014. Insecure functionality
F014. Funcionalidad insegura (Validación Código Seguridad),014. Insecure functionality
F014. Funcionalidad insegura: Bolsillos,014. Insecure functionality
F014. Funcionalidad insegura: credenciales de acceso estampadas,014. Insecure functionality
F014. Funcionalidad insegura: CSV Injection,090. CSV injection
F014. Funcionalidad insegura: Deserialización de objetos,096. Insecure deserialization
F014. Funcionalidad insegura: Envío de documentos,014. Insecure functionality
F014. Funcionalidad insegura: Generación secuencial de IDs,014. Insecure functionality
F014. Funcionalidad insegura: Guardado de Token,014. Insecure functionality
F014. Funcionalidad insegura: ignoring jwt signature,014. Insecure functionality
F014. Funcionalidad insegura: Informacion de transferencias,014. Insecure functionality
F014. Funcionalidad insegura: Inyección CSV,090. CSV injection
F014. Funcionalidad insegura: Inyeccion en logs,091. Log injection
F014. Funcionalidad insegura: inyección en logs,091. Log injection
F014. Funcionalidad insegura: login con logica de depuracion,058. Debugging enabled in production - APK
F014. Funcionalidad insegura: Neutralizacion impropia,014. Insecure functionality
F014. Funcionalidad insegura: parámetros de conexión de base de datos,014. Insecure functionality
F014. Funcionalidad insegura: Productos bloqueados,014. Insecure functionality
F014. Funcionalidad insegura: Validar respuestas,014. Insecure functionality
F014. Funcionalidad insegura(Acceso no autorizado),014. Insecure functionality
F014. Funcionalidad insegura(Envío de URLs),014. Insecure functionality
F014. Funcionalidad insegura(Forzar Asesoría),014. Insecure functionality
F014. Funcionalidad insegura(Inyección de Parámetros),014. Insecure functionality
F014. Funcionalidad insegura(JWT Expiration),014. Insecure functionality
F014. Insecure funcionality,014. Insecure functionality
F014. Insecure function - CSV injection,090. CSV injection
F014. Insecure functionality,014. Insecure functionality
F014. Insecure functionality -  Access consent,014. Insecure functionality
F014. Insecure functionality - Float currency,014. Insecure functionality
F014. Insecure functionality - Parameter injection,121. HTTP parameter pollution
F014. Insecure functionality - treatment managers,014. Insecure functionality
F014. Insecure functionality - X-XSS-Protection Header,135. Insecure or unset HTTP headers - X-XSS Protection
F014. Insecure service configuration,014. Insecure functionality
F014. Unsafe functionality,014. Insecure functionality
F014. Unsafe Functionality,014. Insecure functionality
F014. Unsafe functionality - Admin role,014. Insecure functionality
F014. Unsafe functionality - Random entropy,034. Insecure generation of random numbers
F014. Unsafe functionality - Reverse Tabnabbing,097. Reverse tabnabbing
F015. Insecure authentication method - Basic,015. Insecure authentication method - Basic
F015. Método de autenticación inseguro,015. Insecure authentication method - Basic
F015. Método de autenticación inseguro - Basic,015. Insecure authentication method - Basic
F016. Algoritmo de cifrado inseguro - SSL/TLS,016. Insecure encryption algorithm - SSL/TLS
F016. Insecure encryption algorithm - SSL/TLS,016. Insecure encryption algorithm - SSL/TLS
F016. Llave de cifrado no parametrizable,016. Insecure encryption algorithm - SSL/TLS
F016. Llave de cifrado no parametrizable - Keystore,016. Insecure encryption algorithm - SSL/TLS
F016. Non-parameterizable encryption key,016. Insecure encryption algorithm - SSL/TLS
F017. Información sensible enviada de forma insegura,017. Sensitive information sent insecurely
F017. LDAP injection,017. Sensitive information sent insecurely
F017. Sensitive information sent in an insecure way,017. Sensitive information sent insecurely
F017. Sensitive information sent insecurely,017. Sensitive information sent insecurely
F018. Carpetas compartidas sin control,018. Improper authentication for shared folders
F019. Credenciales de administrador guardadas en caché de procesos,019. Administrative credentials stored in cache memory
F019. Credenciales guardadas en caché de procesos,019. Administrative credentials stored in cache memory
F020. Absence of encryption of confidential information,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial -  AWS,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial -  DynamoDB,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Almacenamiento Local,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - API Keys,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - APK,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - AWS,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Base de Datos,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - base de datos,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Base de datos,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Base64,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - BD de la App,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Botón de pago,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Bucket,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Contraseña sin enmascarar,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Credenciales API,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Credenciales AWS,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Credenciales KeyStore,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Credenciales locales,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Debug,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - DockerFile,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Enmascaramiento,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Firebase,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Jfrog,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Keystore,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - LDAP,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Life Coach,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Llaves de cifrado,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - MongoDB,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - MySQL,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Nexus,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Oracle DB,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - PHP files,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - RDS,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Sendgrid,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Shared Preferences,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - SQL Server Reporting Services,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - SQLite,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Tarjetas,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Tarjetas de crédito,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Token de Forces,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - Usuarios,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial - X-API-Token,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial S3,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial- Token invitado,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial: Base de datos,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial: Base64,020. Non-encrypted confidential information
F020. Ausencia de cifrado de información confidencial: Bases de datos,020. Non-encrypted confidential information
F020. Non-encrypted confidential information,020. Non-encrypted confidential information
F020. Non-encrypted confidential information - local data,020. Non-encrypted confidential information
F021. Inyección de XPath,021. XPath injection
F021. Inyección XPath,021. XPath injection
F021. XPath Injection,021. XPath injection
F022. Use of an insecure channel,022. Use of an insecure channel
F022. Uso de canal inseguro,022. Use of an insecure channel
F022. Uso de canal inseguro -  SSLContext,022. Use of an insecure channel
F022. Uso de canal inseguro - Código fuente,022. Use of an insecure channel
F022. Uso de canal inseguro - FTP,022. Use of an insecure channel
F022. Uso de canal inseguro - SecureProtocol,022. Use of an insecure channel
F022. Uso de canal inseguro - SecurityProtocolType,022. Use of an insecure channel
F022. Uso de canal inseguro - SMTP,022. Use of an insecure channel
F022. Uso de canal inseguro - SSL,022. Use of an insecure channel
F022. Uso de canal inseguro - SSL Context,022. Use of an insecure channel
F022. Uso de canal inseguro - SSLContext,022. Use of an insecure channel
F022. Uso de canal inseguro - Telnet,022. Use of an insecure channel
F022. Uso de canal inseguro - useSslProtocol(),022. Use of an insecure channel
F023. Non-controlled external site redirection,023. Uncontrolled external site redirect - Host Header Injection
F023. Redirección a sitios externos no controlada,023. Uncontrolled external site redirect - Host Header Injection
F023. Redirección a sitios externos no controlada - Host Header Injection,023. Uncontrolled external site redirect - Host Header Injection
F023. Redirección a sitios externos no controlada - Logout,023. Uncontrolled external site redirect - Host Header Injection
F023. Redirección a sitios externos no controlada - Parámetro URL,023. Uncontrolled external site redirect - Host Header Injection
F023. Uncontrolled external site redirect,023. Uncontrolled external site redirect - Host Header Injection
F024. Acceso no restringido entre segmentos de red,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red -  JSch,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red - Ausencia de DBSubnetGroup,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red - AWS,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red - Azure AD,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red - EC2 IPs públicas,024. Unrestricted access between network segments - AWS
F024. Acceso no restringido entre segmentos de red - Socket TCP,024. Unrestricted access between network segments - AWS
F024. Unrestricted access between network segments,024. Unrestricted access between network segments - AWS
F024. Unrestricted access between network segments - AWS,024. Unrestricted access between network segments - AWS
F025. Interceptación de llamadas,025. Call interception
F026. Enumeración automática de información - MdmKey,026. User enumeration
F026. Enumeración de usuarios,026. User enumeration
F026. Enumeración de usuarios - App Móvil,026. User enumeration
F026. Enumeración de usuarios - Botón Bancolombia,026. User enumeration
F026. Enumeración de usuarios - Código de Usuario,026. User enumeration
FIN.S.0056. Conexión anónima,056. Anonymous connection
F026. Enumeración de usuarios - Evil Twin,026. User enumeration
F026. Enumeración de usuarios - Midasoft,026. User enumeration
F026. Enumeración de usuarios - obtenerProyectos,026. User enumeration
F026. Enumeración de usuarios - SifBranch,026. User enumeration
F026. Enumeración de usuarios - SSH,026. User enumeration
F026. Enumeración de usuarios - Usuarios banco,026. User enumeration
F026. Enumeración de usuarios: Nueva App,026. User enumeration
